Nota,Título,Comentário
5,muito bom este jogo,amei o jogo
5,Top,Amo jogar
5,Top,Top
5,Muito bom,Demais
5,Viciante,🥰🥰
5,Adoro!,"Muito bom, não trava"
5,Fran0309,Muito boooom
5,Ótimo,Ótimo
5,Muito bom,Ótimo
1,Péssimo,Péssimo
5,Muito bom!,Jogo divertido!
5,Melhor jogo,Sempre divertido
5,Um dos melhores,"Um dos melhores jogos que joguei, um verdadeiro passa tempo"
5,Top!,Massa demais ! Bom passatempo...
5,Top demais,Muito bom
4,viciante,viciante
4,Amooooo😍,Muitoooo bom...❤️
5,Top,Amo demais ❤️
5,Love,Amoooooooooo de mais #vicio😂
5,Legal,Muito bom
3,já foi melhor,"a tela do jogo trava e quando volta estou fora da partida e sem a vida, fora que acho sacanagem a gente perder a partida pq não tem mais movimentos possíveis, podiam dar outra opção!"
5,Jogo ótimo,Muito bom
5,mec,mutcho bom
5,Top,Muito bom
5,Jogo muito bom,Jogo muito bom
5,Ótimo,Ótimo
5,Muito bom!!,Maneiro demais
5,Amo,Adoro esse jogo e o app é ótimo.
5,Legal,Legal
5,Top,Top
3,Candy,Top
5,Heloiza,Esse jogo é muito bom é sério eu adoro 😍
5,Sensacional,Melhor jogo
5,Amo muito,"Muito divertido, adoro jogar Candy 😍"
5,Ótimo,Ótimo
5,viciante demais kk,to gastando demais com esse jogo
